
2023-01-07 19:04:37:	11.8 中国民主革命纲领的制定
2023-01-07 23:15:29:	2.[判断题] 毛泽东逝世后，中央政治局粉碎江青反革命集团，结束了文化大革命。
2023-01-07 23:15:38:	答案为:A
2023-01-07 23:15:43:	该小节已完成......
2023-01-07 23:15:45:	

2023-01-07 23:15:45:	24.7 严重的曲折，深刻的教训
2023-01-07 23:16:00:	1.[单选题] 1972年2月，美国总统（）访华，中美双方在上海发表联合公报。
2023-01-07 23:16:09:	答案为:尼克松
2023-01-07 23:16:13:	2.[单选题] “文化大革命”的主要原因不包括（）。
2023-01-07 23:16:21:	答案为:D
2023-01-07 23:16:22:	3.[单选题] 中国完全自行设计研制的第一颗中近程导弹顺利发射于（）。
2023-01-07 23:16:30:	答案为:1964年6月29日
2023-01-07 23:16:30:	该单选题未完成.......
2023-01-07 23:16:37:	该小节已保存......
2023-01-07 23:16:40:	

2023-01-07 23:16:40:	24.8 对错误进行科学分析
2023-01-07 23:16:49:	1.[判断题] 历史证明，中国共产党是伟大的党，社会主义制度具有顽强的生命力。
2023-01-07 23:16:58:	答案为:A
2023-01-07 23:17:03:	该小节已完成......
2023-01-07 23:17:05:	

2023-01-07 23:17:05:	25.1 历史性伟大转折和改革开放的起步
2023-01-07 23:17:16:	1.[单选题] 邓小平在1979年召开的（）上发表讲话，认为坚持社会主义道路，坚持人民民主专政，坚持共产党的领导，坚持马克思列宁主义、毛泽东思想这四项基本原则，“是实现四个现代化的根本前提”。
2023-01-07 23:17:24:	答案为:B
2023-01-07 23:17:28:	2.[多选题] 邓小平根据世界经济与政治发生的重大变化，敏锐地把握时代的主题的转换，及时提出（）已经成为当今世界的两大主题的科学论断。
2023-01-07 23:17:36:	答案为:C,D    *******代码结束后请手动完成********
2023-01-07 23:17:36:	答案为:C,D    *******代码结束后请手动完成********
2023-01-07 23:17:39:	3.[多选题] 《关于建国以来党的若干历史问题的决议》对毛泽东思想的科学体系和活的灵魂即（）作了概括，强调毛泽东思想是我们党的宝贵的精神财富，它将长期指导我们的行动。
2023-01-07 23:17:47:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:17:47:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:17:50:	4.[多选题] 从1978年开始，（）的基层干部和农民群众，在省委支持下，开始探索试行包产到组、包产到户、包干到户等多种形式的农业生产责任制。
2023-01-07 23:17:58:	答案为:A,D    *******代码结束后请手动完成********
2023-01-07 23:17:58:	答案为:A,D    *******代码结束后请手动完成********
2023-01-07 23:17:58:	5.[判断题] 《关于建国以来党的若干历史问题的决议》的通过，标志着党在指导思想上拨乱反正的胜利完成。
2023-01-07 23:18:08:	答案为:A
2023-01-07 23:18:15:	该小节已保存......
2023-01-07 23:18:17:	

2023-01-07 23:18:17:	25.2 改革开放和社会主义现代化建设新局面
2023-01-07 23:18:27:	1.[单选题] 1987年10月召开的（），比较系统地阐述了社会主义初级阶段理论，完整地概括了中国共产党在社会主义初级阶段“一个中心、两个基本点”基本路线
2023-01-07 23:18:35:	答案为:B
2023-01-07 23:18:39:	2.[单选题] 88岁高龄的邓小平于（）年初，先后视察武昌、深圳、珠海、上海等地，发表重要谈话，回答了长期困扰和束缚人们思想的许多重大问题。
2023-01-07 23:18:47:	答案为:C
2023-01-07 23:18:51:	3.[单选题] （）召开的五届全国人大五次会议修订通过的《中华人民共和国宪法》，以1954年宪法为基础，纠正了1975年和1978年通过的宪法中存在的问题，充分体现了党和国家在现代化建设和民主法制建设方面的新思想、新举措和新要求。
2023-01-07 23:19:00:	答案为:A
2023-01-07 23:19:04:	4.[多选题] 20世纪80年代，我国逐渐形成了包含（）的多层次、有重点、点面结合的对外开放格局，在引进外资、先进技术和设备以及提高出口创汇能力方面取得显著成效。
2023-01-07 23:19:13:	答案为:A,B,C,D    *******代码结束后请手动完成********
2023-01-07 23:19:13:	答案为:A,B,C,D    *******代码结束后请手动完成********
2023-01-07 23:19:13:	5.[判断题] 1982年邓小平首次提出了“一个国家，两种制度”的概念。
2023-01-07 23:19:20:	答案为:A
2023-01-07 23:19:28:	该小节已保存......
2023-01-07 23:19:29:	

2023-01-07 23:19:29:	25.3 把中国特色社会主义全面推向21世纪
2023-01-07 23:19:39:	1.[单选题] （）7月1日，中国和英国两国政府举行了香港政权交接仪式，宣告中国对香港恢复行使主权，中华人民共和国香港特别行政区正式成立。
2023-01-07 23:19:47:	答案为:C
2023-01-07 23:19:51:	2.[单选题] （）发表《为促进祖国统一大业的完成而继续奋斗》的讲话，提出了发展两岸关系、推进祖国和平统一的八项主张。
2023-01-07 23:20:00:	答案为:B
2023-01-07 23:20:04:	3.[单选题] （）首次使用“邓小平理论”这个概念。
2023-01-07 23:20:12:	答案为:D
2023-01-07 23:20:16:	4.[多选题] “三个代表”重要思想是指中国共产党总是（）。
2023-01-07 23:20:24:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:20:24:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:20:24:	5.[判断题] 香港、澳门的回归，使“一国两制”从科学构想变为现实，标志着祖国统一大业向前迈出了重要的一步。
2023-01-07 23:20:32:	答案为:A
2023-01-07 23:20:41:	该小节已保存......
2023-01-07 23:20:41:	

2023-01-07 23:20:41:	25.4 在新的形势下坚持和发展中国特色社会主义
2023-01-07 23:20:48:	

2023-01-07 23:20:48:	26.1 开拓中国特色社会主义更为广阔的发展前景
2023-01-07 23:27:40:	

2023-01-07 23:27:40:	25.1 历史性伟大转折和改革开放的起步
2023-01-07 23:27:51:	1.[单选题] 邓小平在1979年召开的（）上发表讲话，认为坚持社会主义道路，坚持人民民主专政，坚持共产党的领导，坚持马克思列宁主义、毛泽东思想这四项基本原则，“是实现四个现代化的根本前提”。
2023-01-07 23:27:59:	答案为:B
2023-01-07 23:28:03:	2.[多选题] 邓小平根据世界经济与政治发生的重大变化，敏锐地把握时代的主题的转换，及时提出（）已经成为当今世界的两大主题的科学论断。
2023-01-07 23:28:11:	答案为:C,D    *******代码结束后请手动完成********
2023-01-07 23:28:11:	答案为:C,D    *******代码结束后请手动完成********
2023-01-07 23:28:14:	3.[多选题] 《关于建国以来党的若干历史问题的决议》对毛泽东思想的科学体系和活的灵魂即（）作了概括，强调毛泽东思想是我们党的宝贵的精神财富，它将长期指导我们的行动。
2023-01-07 23:28:23:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:28:23:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:28:26:	4.[多选题] 从1978年开始，（）的基层干部和农民群众，在省委支持下，开始探索试行包产到组、包产到户、包干到户等多种形式的农业生产责任制。
2023-01-07 23:28:34:	答案为:A,D    *******代码结束后请手动完成********
2023-01-07 23:28:34:	答案为:A,D    *******代码结束后请手动完成********
2023-01-07 23:28:34:	5.[判断题] 《关于建国以来党的若干历史问题的决议》的通过，标志着党在指导思想上拨乱反正的胜利完成。
2023-01-07 23:28:43:	答案为:A
2023-01-07 23:28:51:	该小节已保存......
2023-01-07 23:28:52:	

2023-01-07 23:28:52:	25.2 改革开放和社会主义现代化建设新局面
2023-01-07 23:29:03:	1.[单选题] 1987年10月召开的（），比较系统地阐述了社会主义初级阶段理论，完整地概括了中国共产党在社会主义初级阶段“一个中心、两个基本点”基本路线
2023-01-07 23:29:11:	答案为:B
2023-01-07 23:29:15:	2.[单选题] 88岁高龄的邓小平于（）年初，先后视察武昌、深圳、珠海、上海等地，发表重要谈话，回答了长期困扰和束缚人们思想的许多重大问题。
2023-01-07 23:29:24:	答案为:C
2023-01-07 23:29:27:	3.[单选题] （）召开的五届全国人大五次会议修订通过的《中华人民共和国宪法》，以1954年宪法为基础，纠正了1975年和1978年通过的宪法中存在的问题，充分体现了党和国家在现代化建设和民主法制建设方面的新思想、新举措和新要求。
2023-01-07 23:29:35:	答案为:A
2023-01-07 23:29:39:	4.[多选题] 20世纪80年代，我国逐渐形成了包含（）的多层次、有重点、点面结合的对外开放格局，在引进外资、先进技术和设备以及提高出口创汇能力方面取得显著成效。
2023-01-07 23:29:48:	答案为:A,B,C,D    *******代码结束后请手动完成********
2023-01-07 23:29:48:	答案为:A,B,C,D    *******代码结束后请手动完成********
2023-01-07 23:29:48:	5.[判断题] 1982年邓小平首次提出了“一个国家，两种制度”的概念。
2023-01-07 23:29:58:	答案为:A
2023-01-07 23:30:06:	该小节已保存......
2023-01-07 23:30:07:	

2023-01-07 23:30:07:	25.3 把中国特色社会主义全面推向21世纪
2023-01-07 23:30:16:	1.[单选题] （）7月1日，中国和英国两国政府举行了香港政权交接仪式，宣告中国对香港恢复行使主权，中华人民共和国香港特别行政区正式成立。
2023-01-07 23:30:25:	答案为:C
2023-01-07 23:30:29:	2.[单选题] （）发表《为促进祖国统一大业的完成而继续奋斗》的讲话，提出了发展两岸关系、推进祖国和平统一的八项主张。
2023-01-07 23:30:36:	答案为:B
2023-01-07 23:30:40:	3.[单选题] （）首次使用“邓小平理论”这个概念。
2023-01-07 23:30:48:	答案为:D
2023-01-07 23:30:52:	4.[多选题] “三个代表”重要思想是指中国共产党总是（）。
2023-01-07 23:31:00:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:31:00:	答案为:B,C,D    *******代码结束后请手动完成********
2023-01-07 23:31:00:	5.[判断题] 香港、澳门的回归，使“一国两制”从科学构想变为现实，标志着祖国统一大业向前迈出了重要的一步。
2023-01-07 23:31:09:	答案为:A
2023-01-07 23:31:17:	该小节已保存......
2023-01-07 23:31:17:	

2023-01-07 23:31:17:	25.4 在新的形势下坚持和发展中国特色社会主义
2023-01-07 23:31:26:	

2023-01-07 23:31:26:	26.1 开拓中国特色社会主义更为广阔的发展前景
2023-01-07 23:31:34:	

2023-01-07 23:31:34:	26.2 夺取新时代中国特色社会主义伟大胜利
2023-01-07 23:31:41:	

2023-01-07 23:31:41:	26.3 全面建成小康社会和开启全面建设社会主义现代化国家新征程
2023-01-08 10:40:50:	

2023-01-08 10:40:50:	1.1 为什么要学习中国近现代史
2023-01-08 11:04:47:	

2023-01-08 11:04:47:	1.1 为什么要学习中国近现代史
2023-01-08 11:04:58:	1.[多选题] 树立正确的历史观可以（）。
2023-01-08 11:05:07:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:05:07:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:05:11:	2.[判断题] 在建设社会主义现代化强国的历史征程中，为了防止重蹈历史覆辙，就必须深刻认识历史上的经验与教训。
2023-01-08 11:05:20:	答案为:B
2023-01-08 11:05:23:	3.[判断题] 独特的历史命运、独特的文化传统、独特的国情，决定了中国必然要走适合自己的发展道路。
2023-01-08 11:05:32:	答案为:A
2023-01-08 11:05:43:	该小节已保存......
2023-01-08 11:05:44:	

2023-01-08 11:05:44:	1.2  学习中国近现代史应把握的主要内容
2023-01-08 11:05:56:	1.[单选题] 中国的近现代史，是指（）以来的中国的历史。
2023-01-08 11:06:05:	答案为:1840年
2023-01-08 11:06:11:	2.[单选题] （）是近代中国最革命的阶级。
2023-01-08 11:07:27:	

2023-01-08 11:07:27:	1.1 为什么要学习中国近现代史
2023-01-08 11:07:37:	1.[多选题] 树立正确的历史观可以（）。
2023-01-08 11:07:46:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:07:46:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:07:50:	2.[判断题] 在建设社会主义现代化强国的历史征程中，为了防止重蹈历史覆辙，就必须深刻认识历史上的经验与教训。
2023-01-08 11:07:59:	答案为:B
2023-01-08 11:08:01:	3.[判断题] 独特的历史命运、独特的文化传统、独特的国情，决定了中国必然要走适合自己的发展道路。
2023-01-08 11:08:11:	答案为:A
2023-01-08 11:08:21:	该小节已保存......
2023-01-08 11:08:22:	

2023-01-08 11:08:22:	1.2  学习中国近现代史应把握的主要内容
2023-01-08 11:08:33:	1.[单选题] 中国的近现代史，是指（）以来的中国的历史。
2023-01-08 11:08:41:	答案为:1840年
2023-01-08 11:08:47:	2.[单选题] （）是近代中国最革命的阶级。
2023-01-08 11:08:56:	答案为:工人阶级
2023-01-08 11:09:02:	3.[判断题] 建立一个工人阶级领导的以工农联盟为基础的人民民主专政的人民共和国，这就是中国共产党领导中国人民进行新民主主义革命所要达到的基本目标。
2023-01-08 11:09:44:	

2023-01-08 11:09:44:	1.1 为什么要学习中国近现代史
2023-01-08 11:09:54:	1.[多选题] 树立正确的历史观可以（）。
2023-01-08 11:10:04:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:10:04:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:10:07:	2.[判断题] 在建设社会主义现代化强国的历史征程中，为了防止重蹈历史覆辙，就必须深刻认识历史上的经验与教训。
2023-01-08 11:10:16:	答案为:B
2023-01-08 11:10:18:	3.[判断题] 独特的历史命运、独特的文化传统、独特的国情，决定了中国必然要走适合自己的发展道路。
2023-01-08 11:13:30:	

2023-01-08 11:13:30:	1.1 为什么要学习中国近现代史
2023-01-08 11:13:39:	1.[多选题] 树立正确的历史观可以（）。
2023-01-08 11:13:48:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:13:48:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:13:52:	2.[判断题] 在建设社会主义现代化强国的历史征程中，为了防止重蹈历史覆辙，就必须深刻认识历史上的经验与教训。
2023-01-08 11:14:02:	答案为:B
2023-01-08 11:14:04:	3.[判断题] 独特的历史命运、独特的文化传统、独特的国情，决定了中国必然要走适合自己的发展道路。
2023-01-08 11:14:14:	答案为:A
2023-01-08 11:14:24:	该小节已保存......
2023-01-08 11:14:26:	

2023-01-08 11:14:26:	1.2  学习中国近现代史应把握的主要内容
2023-01-08 11:14:36:	1.[单选题] 中国的近现代史，是指（）以来的中国的历史。
2023-01-08 11:14:45:	答案为:1840年
2023-01-08 11:14:52:	2.[单选题] （）是近代中国最革命的阶级。
2023-01-08 11:15:00:	答案为:工人阶级
2023-01-08 11:15:06:	3.[判断题] 建立一个工人阶级领导的以工农联盟为基础的人民民主专政的人民共和国，这就是中国共产党领导中国人民进行新民主主义革命所要达到的基本目标。
2023-01-08 11:15:15:	答案为:C
2023-01-08 11:15:22:	该单选题未完成.......
2023-01-08 11:15:25:	4.[判断题] 在近代中国，封建主义和人民大众之间的矛盾是中国社会众多矛盾中的最主要矛盾。
2023-01-08 11:15:33:	答案为:B
2023-01-08 11:15:36:	5.[判断题] 近代中国革命的性质是资产阶级民族民主革命。
2023-01-08 11:15:45:	答案为:A
2023-01-08 11:15:56:	该小节已保存......
2023-01-08 11:15:57:	

2023-01-08 11:15:57:	1.3 怎样学习中国近现代史
2023-01-08 11:15:57:	

2023-01-08 11:15:57:	2.1 资本-帝国主义的军事侵略（一）
2023-01-08 11:15:57:	

2023-01-08 11:15:57:	2.2 资本-帝国主义的军事侵略（二）
2023-01-08 11:16:10:	1.[单选题] 作家（）曾写文控诉八国联军火烧圆明园的恶行。
2023-01-08 11:16:18:	答案为:雨果
2023-01-08 11:16:24:	2.[判断题] 《辛丑条约》是中国近代史上赔款数目最庞大、主权丧失最严重的不平等条约。
2023-01-08 11:16:33:	答案为:A
2023-01-08 11:16:35:	3.[判断题] 《马关条约》规定的中国对日本的赔款使得日本获得了发展经济的大量资金。
2023-01-08 11:16:44:	答案为:A
2023-01-08 11:16:51:	该小节已完成......
2023-01-08 11:16:52:	

2023-01-08 11:16:52:	2.3 资本-帝国主义的经济掠夺和文化渗透
2023-01-08 11:17:04:	1.[单选题] 法国东方汇理银行于1899年在（）设立了我国大陆地区的第一个分行，以进出口押款为主要业务。
2023-01-08 11:17:13:	答案为:上海
2023-01-08 11:17:19:	2.[多选题] 清政府末期，西方列强对中国的经济掠夺体现在（）。
2023-01-08 11:17:27:	答案为:A,A,A,A,B,C,D    *******代码结束后请手动完成********
2023-01-08 11:17:27:	答案为:A,A,A,A,B,C,D    *******代码结束后请手动完成********
2023-01-08 11:17:32:	3.[多选题] 清朝末期，西方列强对中国的文化侵略包括（）。
2023-01-08 11:17:41:	答案为:披着宗教的外衣,进行侵略活动#为侵略中国制造舆论    *******代码结束后请手动完成********
2023-01-08 11:17:41:	答案为:披着宗教的外衣,进行侵略活动#为侵略中国制造舆论    *******代码结束后请手动完成********
2023-01-08 11:17:44:	4.[判断题] 胶济铁路是德国人在侵略中国时建造并控制的。
2023-01-08 11:17:53:	答案为:A
2023-01-08 11:17:55:	5.[判断题] 西方传教士的一般传教及文化、教育、医疗活动就是对中国的文化渗透。
2023-01-08 11:18:05:	答案为:B
2023-01-08 11:18:12:	该小节已完成......
2023-01-08 11:18:19:	

2023-01-08 11:18:19:	1.1 为什么要学习中国近现代史
2023-01-08 11:18:29:	1.[多选题] 树立正确的历史观可以（）。
2023-01-08 11:18:38:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:18:38:	答案为:A,C,D    *******代码结束后请手动完成********
2023-01-08 11:18:41:	2.[判断题] 在建设社会主义现代化强国的历史征程中，为了防止重蹈历史覆辙，就必须深刻认识历史上的经验与教训。
2023-01-08 11:18:49:	答案为:B
2023-01-08 11:18:52:	3.[判断题] 独特的历史命运、独特的文化传统、独特的国情，决定了中国必然要走适合自己的发展道路。
2023-01-08 11:19:01:	答案为:A
2023-01-08 11:19:11:	该小节已保存......
2023-01-08 11:19:12:	

2023-01-08 11:19:12:	1.2  学习中国近现代史应把握的主要内容
2023-01-08 11:19:22:	1.[单选题] 中国的近现代史，是指（）以来的中国的历史。
2023-01-08 11:19:30:	答案为:1840年
2023-01-08 11:19:36:	2.[单选题] （）是近代中国最革命的阶级。
2023-01-08 11:19:44:	答案为:工人阶级
2023-01-08 11:19:50:	3.[判断题] 建立一个工人阶级领导的以工农联盟为基础的人民民主专政的人民共和国，这就是中国共产党领导中国人民进行新民主主义革命所要达到的基本目标。
2023-01-08 11:19:58:	答案为:C
2023-01-08 11:20:04:	该单选题未完成.......
2023-01-08 11:20:07:	4.[判断题] 在近代中国，封建主义和人民大众之间的矛盾是中国社会众多矛盾中的最主要矛盾。
2023-01-08 11:20:16:	答案为:B
2023-01-08 11:20:18:	5.[判断题] 近代中国革命的性质是资产阶级民族民主革命。
2023-01-08 11:20:27:	答案为:A
2023-01-08 11:20:37:	该小节已保存......
2023-01-08 11:20:38:	

2023-01-08 11:20:38:	1.3 怎样学习中国近现代史
2023-01-08 11:20:38:	

2023-01-08 11:20:38:	2.1 资本-帝国主义的军事侵略（一）
2023-01-08 11:20:38:	

2023-01-08 11:20:38:	2.2 资本-帝国主义的军事侵略（二）
2023-01-08 11:20:38:	

2023-01-08 11:20:38:	2.3 资本-帝国主义的经济掠夺和文化渗透
2023-01-08 11:20:38:	

2023-01-08 11:20:38:	2.4 当代西方对中国文化渗透的新特点
2023-01-08 11:20:49:	1.[多选题] 当代西方对中国的文化渗透体现在（）。
2023-01-08 11:20:57:	答案为:A,B,C,D    *******代码结束后请手动完成********
2023-01-08 11:20:57:	答案为:A,B,C,D    *******代码结束后请手动完成********
2023-01-08 11:21:01:	2.[判断题] 随着中国的崛起，西方已经放弃了对中国的文化扩张和渗透。
2023-01-08 11:21:10:	答案为:B
2023-01-08 11:21:13:	3.[判断题] 从历史到现实，西方资本主义国家从来就没有放松过对中国的文化渗透。
2023-01-08 11:21:22:	答案为:A
2023-01-08 11:21:32:	该小节已保存......
2023-01-08 11:21:33:	

2023-01-08 11:21:33:	2.5 资本-帝国主义的政治侵略
2023-01-08 11:21:43:	1.[单选题] （）规定外国公使可以常驻北京。
2023-01-08 11:21:52:	答案为:C
2023-01-08 11:21:58:	2.[多选题] 资本-帝国主义列强在政治上对中国的侵略采取的主要方式有（）。
2023-01-08 11:22:06:	答案为:A,A,A,B,C    *******代码结束后请手动完成********
2023-01-08 11:22:06:	答案为:A,A,A,B,C    *******代码结束后请手动完成********
2023-01-08 11:22:11:	3.[多选题] 清朝末期，资本帝国主义列强对中国的政治控制是控制中国政府，中国被其所操纵的方面有（）。
2023-01-08 11:22:20:	答案为:司法体系海关关税选任官吏外交政策    *******代码结束后请手动完成********
2023-01-08 11:22:20:	答案为:司法体系海关关税选任官吏外交政策    *******代码结束后请手动完成********
2023-01-08 11:22:24:	4.[多选题] 清朝末期，西方列强镇压中国人民的反抗体现在（）。
2023-01-08 11:22:32:	答案为:镇压反洋教的斗争组织洋枪队,镇压太平天国起义镇压义和团运动    *******代码结束后请手动完成********
2023-01-08 11:22:32:	答案为:镇压反洋教的斗争组织洋枪队,镇压太平天国起义镇压义和团运动    *******代码结束后请手动完成********
2023-01-08 11:22:32:	5.[判断题] 《辛丑条约》中，帝国主义列强还强迫清政府做出永远禁止中国人民成立或加入任何反对它们的组织的承诺。
2023-01-08 11:22:42:	答案为:A
2023-01-08 11:22:48:	该小节已完成......
2023-01-08 11:22:49:	

2023-01-08 11:22:49:	2.6 帝国主义的入侵给中国带来了什么？
2023-01-08 11:23:00:	1.[单选题] 香港回归祖国是在（）年。
2023-01-08 11:23:08:	答案为:D
2023-01-08 11:23:14:	2.[单选题] “生于忧患，死于安乐”是（）的名言。
2023-01-08 11:23:22:	答案为:C
2023-01-08 11:23:28:	3.[多选题] 在毛泽东看来，帝国主义列强入侵中国的目的是要把封建的中国变成（）。
2023-01-08 11:23:36:	答案为:殖民地半殖民地    *******代码结束后请手动完成********
2023-01-08 11:23:36:	答案为:殖民地半殖民地    *******代码结束后请手动完成********
2023-01-08 11:23:40:	4.[判断题] 从资本-帝国主义行为的客观结果来看，殖民侵略实现了落后地区走向现代化。
2023-01-08 11:23:49:	答案为:B
2023-01-08 11:23:51:	5.[判断题] 晚清时期，西方列强入侵中国的目的是促进中国发展。
2023-01-08 11:24:00:	答案为:B
2023-01-08 11:24:11:	该小节已保存......
2023-01-08 11:24:12:	

2023-01-08 11:24:12:	3.1 反抗外来侵略斗争的历程
2023-01-08 11:24:23:	1.[单选题] 在中法战争期间指挥击退法舰的人是（）。
2023-01-08 11:24:32:	答案为:刘铭传
2023-01-08 11:24:37:	2.[单选题] 三元里人民的抗英斗争发生于（）年。
2023-01-08 11:24:45:	答案为:1841年
2023-01-08 11:24:48:	3.[判断题] 镇南关大捷的指挥者是刘铭传。
2023-01-08 11:24:57:	答案为:B
2023-01-08 11:25:03:	该小节已完成......
2023-01-08 11:25:11:	

2023-01-08 11:25:11:	2.6 帝国主义的入侵给中国带来了什么？
2023-01-08 11:25:22:	1.[单选题] 香港回归祖国是在（）年。
2023-01-08 11:25:31:	答案为:D
2023-01-08 11:25:36:	2.[单选题] “生于忧患，死于安乐”是（）的名言。
2023-01-08 11:25:44:	答案为:C
2023-01-08 11:25:50:	3.[多选题] 在毛泽东看来，帝国主义列强入侵中国的目的是要把封建的中国变成（）。
2023-01-08 11:25:59:	答案为:殖民地半殖民地    *******代码结束后请手动完成********
2023-01-08 11:25:59:	答案为:殖民地半殖民地    *******代码结束后请手动完成********
2023-01-08 11:26:03:	4.[判断题] 从资本-帝国主义行为的客观结果来看，殖民侵略实现了落后地区走向现代化。
2023-01-08 11:26:11:	答案为:B
2023-01-08 11:26:14:	5.[判断题] 晚清时期，西方列强入侵中国的目的是促进中国发展。
2023-01-08 11:26:23:	答案为:B
2023-01-08 11:26:33:	该小节已保存......
2023-01-08 11:26:34:	

2023-01-08 11:26:34:	3.1 反抗外来侵略斗争的历程
2023-01-08 11:26:34:	

2023-01-08 11:26:34:	3.2 反对瓜分中国的图谋
2023-01-08 11:26:46:	1.[单选题] “门户开放政策”是（）提出的。
2023-01-08 11:26:54:	答案为:A
2023-01-08 11:27:00:	2.[单选题] 以下各项中，不属于义和团运动的口号的是（）。
2023-01-08 11:27:08:	答案为:驱除鞑虏
2023-01-08 11:27:10:	3.[判断题] 义和团运动是一场反帝反封建的爱国运动。
2023-01-08 11:27:20:	答案为:B
2023-01-08 11:27:27:	该小节已完成......
2023-01-08 11:27:27:	

2023-01-08 11:27:27:	3.3 近代中国历次反侵略战争失败的原因
2023-01-08 11:27:38:	1.[单选题] 毛泽东总结近代反侵略战争失败的内部因素，一是社会制度腐败，二是（）。
2023-01-08 11:27:46:	答案为:经济技术落后
2023-01-08 11:27:51:	2.[多选题] 关于近代中国历次反侵略战争失败原因的说法有（）。
2023-01-08 11:28:00:	答案为:A,B    *******代码结束后请手动完成********
2023-01-08 11:28:00:	答案为:A,B    *******代码结束后请手动完成********
2023-01-08 11:28:00:	3.[判断题] 在鸦片战争中牺牲的提督有关天培和陈化成。
2023-01-08 11:28:10:	答案为:A
2023-01-08 11:28:20:	该小节已保存......
2023-01-08 11:28:21:	

2023-01-08 11:28:21:	3.4 正确认识中国人民的反侵略斗争
2023-01-08 11:28:31:	1.[单选题] 下列阶级中，不属于法国大革命时的社会第三等级的是（）。
2023-01-08 11:28:40:	答案为:D
2023-01-08 11:28:46:	2.[单选题] “落后就要挨打”，这句话由（）首先提出。
2023-01-08 11:28:55:	答案为:斯大林
2023-01-08 11:28:57:	3.[判断题] 反思中国近代史，革命其实是可有可无的。
2023-01-08 11:29:06:	答案为:B
2023-01-08 11:29:14:	该小节已完成......
2023-01-08 11:29:15:	

2023-01-08 11:29:15:	4.1 太平天国农民运动爆发的时代背景
2023-01-08 11:29:25:	1.[单选题] 下列书籍，不是由洪秀全所著的是（）。
2023-01-08 11:29:34:	答案为:C
2023-01-08 11:29:39:	2.[单选题] 太平天国农民运动爆发的根本原因是（）。
2023-01-08 11:29:47:	答案为:地主阶级对农民阶级残酷的剥削与压迫
2023-01-08 11:29:50:	3.[判断题] 太平天国农民起义的根本原因是地主阶级对农民阶级残酷的剥削与压迫。
2023-01-08 11:29:59:	答案为:A
2023-01-08 11:30:06:	该小节已完成......
2023-01-08 11:30:07:	

2023-01-08 11:30:07:	4.2 太平天国农民运动的历程
2023-01-08 11:30:18:	1.[单选题] 太平天国利用（）作为发动农民的工具。
2023-01-08 11:30:27:	答案为:宗教
2023-01-08 11:30:32:	2.[单选题] 太平天国定都在（）。
2023-01-08 11:30:40:	答案为:南京
2023-01-08 11:30:45:	3.[单选题] 下列各项中，没有被毛泽东评价为向西方求真理的先进中国人的是（）。
2023-01-08 11:31:26:	

2023-01-08 11:31:26:	2.6 帝国主义的入侵给中国带来了什么？
2023-01-08 11:31:36:	1.[单选题] 香港回归祖国是在（）年。
2023-01-08 11:31:44:	答案为:D
2023-01-08 11:31:50:	2.[单选题] “生于忧患，死于安乐”是（）的名言。
2023-01-08 11:31:59:	答案为:C
2023-01-08 11:32:05:	3.[多选题] 在毛泽东看来，帝国主义列强入侵中国的目的是要把封建的中国变成（）。
2023-01-08 11:32:13:	答案为:殖民地半殖民地    *******代码结束后请手动完成********
2023-01-08 11:32:13:	答案为:殖民地半殖民地    *******代码结束后请手动完成********
2023-01-08 11:32:17:	4.[判断题] 从资本-帝国主义行为的客观结果来看，殖民侵略实现了落后地区走向现代化。
2023-01-08 11:32:26:	答案为:B
2023-01-08 11:32:28:	5.[判断题] 晚清时期，西方列强入侵中国的目的是促进中国发展。
2023-01-08 12:30:43:	

2023-01-08 12:30:43:	3.3 近代中国历次反侵略战争失败的原因
2023-01-08 12:30:52:	1.[单选题] 毛泽东总结近代反侵略战争失败的内部因素，一是社会制度腐败，二是（）。
2023-01-08 12:31:02:	答案为:经济技术落后
2023-01-08 12:31:07:	2.[多选题] 关于近代中国历次反侵略战争失败原因的说法有（）。
2023-01-08 12:31:57:	答案为:A,B    *******代码结束后请手动完成********
2023-01-08 12:31:57:	答案为:A,B    *******代码结束后请手动完成********
2023-01-08 12:31:57:	3.[判断题] 在鸦片战争中牺牲的提督有关天培和陈化成。
2023-01-08 12:32:06:	答案为:A
2023-01-08 12:32:18:	该小节已保存......
